"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /comments/{id} returns correct comment data","83","testGetCommentById","REST Assured API Test Suite","Mon Apr 06 09:12:54 UTC 2026","failed","Mon Apr 06 09:12:55 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /photos/{id} returns correct photo data","68","testGetPhotoById","REST Assured API Test Suite","Mon Apr 06 09:12:57 UTC 2026","passed","Mon Apr 06 09:12:57 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /todos/{id} returns correct todo data","76","testGetTodoById","REST Assured API Test Suite","Mon Apr 06 09:12:58 UTC 2026","passed","Mon Apr 06 09:12:58 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /albums returns all 100 albums","63","testGetAllAlbums","REST Assured API Test Suite","Mon Apr 06 09:12:55 UTC 2026","passed","Mon Apr 06 09:12:55 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify relationship: user has many albums","48","testGetUserAlbums","REST Assured API Test Suite","Mon Apr 06 09:12:59 UTC 2026","passed","Mon Apr 06 09:12:59 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify DELETE /albums/1 returns 200","48","testDeleteAlbum","REST Assured API Test Suite","Mon Apr 06 09:12:56 UTC 2026","passed","Mon Apr 06 09:12:56 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify GET /comments/{id} returns 404 for invalid IDs","62","testGetCommentNotFound","REST Assured API Test Suite","Mon Apr 06 09:12:55 UTC 2026","passed","Mon Apr 06 09:12:55 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /todos/{id} returns correct todo data","52","testGetTodoById","REST Assured API Test Suite","Mon Apr 06 09:12:57 UTC 2026","passed","Mon Apr 06 09:12:58 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify photo URLs are non-null and non-empty","50","testPhotoUrlFormat","REST Assured API Test Suite","Mon Apr 06 09:12:57 UTC 2026","passed","Mon Apr 06 09:12:57 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /comments/{id} returns correct comment data","87","testGetCommentById","REST Assured API Test Suite","Mon Apr 06 09:12:55 UTC 2026","failed","Mon Apr 06 09:12:55 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos/{id} returns correct todo data","59","testGetTodoById","REST Assured API Test Suite","Mon Apr 06 09:12:58 UTC 2026","passed","Mon Apr 06 09:12:58 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify response structure matches post JSON schema","720","testPostSchemaValidation","REST Assured API Test Suite","Mon Apr 06 09:12:53 UTC 2026","passed","Mon Apr 06 09:12:53 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify GET /users returns all 10 users","47","testGetAllUsers","REST Assured API Test Suite","Mon Apr 06 09:12:58 UTC 2026","passed","Mon Apr 06 09:12:58 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /posts/{id} returns 404 for non-existent IDs","59","testGetPostNotFound","REST Assured API Test Suite","Mon Apr 06 09:12:53 UTC 2026","passed","Mon Apr 06 09:12:54 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /comments/{id} returns 404 for invalid IDs","68","testGetCommentNotFound","REST Assured API Test Suite","Mon Apr 06 09:12:55 UTC 2026","passed","Mon Apr 06 09:12:55 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
